,playerID,Name,AB,H,average,Empirical Bayes Estimate,alpha1,beta1,PEP,Cumulative Mean
5996,morgaed01,Ed Morgan,2810,879,0.3128113879,0.3070920229,996.983577844,2249.54678928,0.190820375084,0.0470209208038
147,altuvjo01,Jose Altuve,3361,1046,0.311216899732,0.306510670177,1163.98357784,2633.54678928,0.192387165677,0.048519541885
1139,burnsge02,George Burns,6573,2018,0.30701354024,0.304725632956,2135.98357784,4873.54678928,0.195260886848,0.0500169025479
1284,canoro01,Robinson Cano,7210,2210,0.306518723994,0.304449660967,2327.98357784,5318.54678928,0.199160579058,0.0515234043308
333,bakerfr01,Home Run Baker,5984,1838,0.307152406417,0.304645171972,1955.98357784,4464.54678928,0.20969635464,0.0531051338339
4458,kellge01,George Kell,6702,2054,0.306475678902,0.304262007184,2171.98357784,4966.54678928,0.217297217168,0.0547307980254
8909,vosmijo01,Joe Vosmik,5472,1682,0.307383040936,0.304641504063,1799.98357784,4108.54678928,0.219553863084,0.0563467104279
941,brettge01,George Brett,10349,3154,0.304763745289,0.303367888873,3271.98357784,7513.54678928,0.223723460202,0.057971727416
8940,walkedi02,Dixie Walker,6740,2064,0.306231454006,0.304044359352,2181.98357784,4994.54678928,0.228645273421,0.0596128192045
3879,hodapjo01,Johnny Hodapp,2826,880,0.311394196745,0.305892502305,997.983577844,2264.54678928,0.233268941747,0.0612666870382
4424,kauffbe01,Benny Kauff,3094,961,0.310601163542,0.305615152866,1078.98357784,2451.54678928,0.235148850756,0.0629070848092
2074,davissp01,Spud Davis,4255,1312,0.308343125734,0.304801091743,1429.98357784,3261.54678928,0.238121921161,0.0645446066442
5047,lombaer01,Ernie Lombardi,5855,1792,0.306063193851,0.303580125406,1909.98357784,4381.54678928,0.269157611783,0.0664391715066
4447,keistbi01,Bill Keister,2433,758,0.311549527333,0.305270711849,875.983577844,1993.54678928,0.271004042205,0.0683159134396
1475,childcu01,Cupid Childs,5618,1720,0.306158775365,0.303571617681,1837.98357784,4216.54678928,0.27356017415,0.0701817703552
9282,wilsoha01,Hack Wilson,4760,1461,0.306932773109,0.303853430326,1578.98357784,3617.54678928,0.273767230274,0.0720158735977
6493,ottme01,Mel Ott,9456,2876,0.304145516074,0.302650936286,2993.98357784,6898.54678928,0.283664998174,0.0739055979243
6717,peskyjo01,Johnny Pesky,4745,1455,0.306638566913,0.303575095849,1572.98357784,3608.54678928,0.288778903388,0.0758071316009
3553,hargrbu01,Bubbles Hargrave,2533,786,0.310303987367,0.304419711566,903.983577844,2065.54678928,0.301675181007,0.0777884302799
7433,rosepe01,Pete Rose,14053,4256,0.302853483242,0.301872004614,4373.98357784,10115.5467893,0.312407815629,0.0798285988482
3004,garrra01,Ralph Garr,5108,1562,0.305794831637,0.302998354524,1679.98357784,3864.54678928,0.314592087336,0.0818524220248
3746,hermabi01,Billy Herman,7707,2345,0.304268846503,0.302446662173,2462.98357784,5680.54678928,0.316240223138,0.0838557365642
4855,leachfr01,Freddy Leach,3733,1147,0.307259576748,0.303387544031,1264.98357784,2904.54678928,0.318330012231,0.085842806697
5211,madlobi01,Bill Madlock,6594,2008,0.304519259933,0.302393058109,2125.98357784,4904.54678928,0.332110212423,0.0879122806947
835,bostoly01,Lyman Bostock,2004,624,0.311377245509,0.304025546185,741.983577844,1698.54678928,0.334463947799,0.0899668779206
4312,jonesch06,Chipper Jones,8984,2726,0.303428317008,0.301892087495,2843.98357784,6576.54678928,0.345488094533,0.0920786235124
805,bonurze01,Zeke Bonura,3582,1099,0.306811836963,0.302842946715,1216.98357784,2801.54678928,0.348867518468,0.0941834505202
6749,phelpba01,Babe Phelps,2117,657,0.310344827586,0.303494952644,774.983577844,1778.54678928,0.352237289773,0.0962814492134
2841,fredejo01,Johnny Frederick,3102,954,0.307543520309,0.302945987918,1071.98357784,2466.54678928,0.353004172884,0.0983517937591
3725,hendrha01,Harvey Hendrick,2910,896,0.307903780069,0.302995480874,1013.98357784,2332.54678928,0.354643810213,0.100402129891
6399,olivato01,Tony Oliva,6301,1917,0.304237422631,0.302037017566,2034.98357784,4702.54678928,0.359006282981,0.102454543804
1266,campbvi01,Vin Campbell,2069,642,0.31029482842,0.303322437364,759.983577844,1745.54678928,0.360624360397,0.104487377006
4758,lamarbi01,Bill Lamar,2040,633,0.310294117647,0.303240205658,750.983577844,1725.54678928,0.364769313529,0.106520829635
6400,oliveal01,Al Oliver,9049,2743,0.303127417394,0.301615562558,2860.98357784,6624.54678928,0.366848403052,0.10853887284
5957,moorejo01,Johnny Moore,3013,926,0.307334882177,0.302645133319,1043.98357784,2405.54678928,0.369254653622,0.110544378846
